,title,author,release year,synopsis,book length,rating,number of ratings
582,"A Knight in Shining Armor (Montgomery/Taggert Family, #13)",Jude Deveraux,1989,"Once upon a time... ...as a fair maiden lay weeping upon a cold tombstone, her heartfelt desire was suddenly made real before her: tall, broad of shoulder, attired in gleaming silver and gold, her knight in shining armor had come to rescue his damsel in distress....  A Knight in Shining Armor  Jude Deveraux's beloved bestseller has captivated readers the world over; now in",464,4.2,35480
583,"Ten Ways to Be Adored When Landing a Lord (Love By Numbers, #2)",Sarah MacLean,2010,"“Lord Nicholas is a paragon of manhood. And his eyes, Dear Reader! So blue!” Pearls & Pelisses, June 1823Since being named on of London’s “Lords to Land” by a popular ladies’ magazine, Nicholas St. John has been relentlessly pursued by every matrimony-minded female in the ton. So when an opportunity to escape fashionable society presents itself, he eagerly jumps—only to la",357,3.88,24842
584,"Smooth Talking Stranger (Travises, #3)",Lisa Kleypas,2009,"
A sinful attraction.
Jack Travis leads the uncomplicated life of a millionaire Texas playboy. He makes no commitments, he loves many women, he lives for pleasure. But no one has ever truly touched his heart or soul. Until one day, a woman appears on his doorstep with fury on her face and a baby in her arms. It seems Jack is the father and this woman is the baby's aunt. ",340,4.14,39342
585,The Two Lives of Lydia Bird (Hardcover),Josie Silver,2020,"Lydia and Freddie. Freddie and Lydia. They'd been together for more than a decade, and Lydia thought their love was indestructible.But she was wrong. On her twenty-eighth birthday, Freddie died in a car accident.So now it's just Lydia, and all she wants to do is hide indoors and sob until her eyes fall out. But Lydia knows that Freddie would want her to try to live fully, ",369,3.76,56854
586,"The Perfect Hope (Inn Boonsboro Trilogy, #3)",Nora Roberts,2012,"#1 New York Times bestselling author Nora Roberts introduces you to the Montgomery brothers - Beckett, Ryder, and Owen - as they bring an intimate bed-and-breakfast to life in their hometown.Ryder is the hardest Montgomery brother to figure out - with a tough-as-nails outside and possibly nothing too soft underneath. He's surly and unsociable, but when he straps on a toolb",10,4.17,43739
587,"Once Burned (Night Prince, #1)",Jeaniene Frost,2012,"She's a mortal with dark powers...After a tragic accident scarred her body and destroyed her dreams, Leila never imagined that the worst was still to come: terrifying powers that let her channel electricity and learn a person's darkest secrets through a single touch. Leila is doomed to a life of solitude...until creatures of the night kidnap her, forcing her to reach out w",373,4.2,66290
588,My Killer Vacation (ebook),Tessa Bailey,2022,"It was supposed to be a relaxing vacation in sweet, sunny Cape Cod—just me and my beloved brother—but discovering a corpse in our rental house really throws a wrench into our tanning schedule. Now a rude, crude bounty hunter has arrived on the back of his motorcycle to catch the killer and refuses to believe I can be helpful, despite countless hours of true crime podcast l",295,3.83,47186
589,"What Happens in London (Bevelstoke, #2)",Julia Quinn,2009,"RUMORS AND GOSSIP... THE LIFEBLOOD OF LONDON!When Olivia Bevelstoke is told that her new neighbor may have killed his fiancee, she doesn't believe it for a second, but, still, how can she help spying on him, just to be sure? So she stakes out a spot near her bedroom window, cleverly concealed by curtains, watches, and waits... and discovers a most intriguing man, who is de",372,4.02,26142
590,"Tears of the Moon (Gallaghers of Ardmore, #2)",Nora Roberts,2000,"A talented songwriter, Shawn Gallagher spends his days lost in reverie and wonder, oblivious to the wiles of women and the ways of the world. He claims that he's content with his life, but his music tells a different story—one of loneliness and desperate longing…No one understands why Shawn doesn't put his musical gift to profitable use—least of all Brenna O'Toole, a fierc",346,4.19,33160
591,"Heaven and Earth (Three Sisters Island, #2)",Nora Roberts,2001,"Ripley Todd just wants to live a quiet, peaceful kind of life. Her job as a sheriff's deputy keeps her busy and happy, and she has no trouble finding men when she wants them - which, lately, isn't all that often. She's perfectly content, except for one thing: she has special powers that both frighten and confuse her, and though she tries hard to hide them, she can't get th",416,4.14,40486
592,"The Trouble with Hating You (The Trouble with Hating You, #1)",Sajni Patel,2020,"Liya Thakkar is a successful biochemical engineer, takeout enthusiast, and happily single woman. The moment she realizes her parents' latest dinner party is a setup with the man they want her to marry, she's out the back door in a flash. Imagine her surprise when the same guy shows up at her office a week later -- the new lawyer hired to save her struggling company. What's",336,3.83,19351
593,"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,2008,"Anna never knew werewolves existed, until the night she survived a violent attack... and became one herself. After three years at the bottom of the pack, she'd learned to keep her head down and never, ever trust dominant males. Then Charles Cornick, the enforcer—and son—of the leader of the North American werewolves, came into her life.Charles insists that not only is Anna",294,4.12,97790
594,"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,2009,"A new Outlander novel — the seventh — from #1 National Bestselling author Diana Gabaldon.Readers have been waiting with bated breath for the seventh volume in bestselling author Diana Gabaldon’s epic Outlander saga — a masterpiece of historical fiction featuring Jamie and Claire, from one of the genre’s most popular and beloved authors.Jamie Fraser, erstwhile Jacobite and ",820,4.43,139381
595,Don't You Forget About Me (Kindle Edition),Mhairi McFarlane,2019,"If there’s one thing worse than being fired from the grottiest restaurant in town, it’s coming home early to find your boyfriend in bed with someone else.Reeling from the indignity of a double dumping on the same day, Georgina snatches at the next job that she’s offered—barmaid in a newly opened pub, which just so happens to run by the boy she fell in love with at school: ",433,3.87,40746
596,"Will Grayson, Will Grayson (Hardcover)",John Green,2010,"Will Grayson meets Will Grayson. One cold night, in a most unlikely corner of Chicago, two strangers are about to cross paths. From that moment on, their world will collide and lives intertwine.It's not that far from Evanston to Naperville, but Chicago suburbanites Will Grayson and Will Grayson might as well live on different planets. When fate delivers them both to the sa",310,3.72,378446
597,"The Air He Breathes (Elements, #1)",Brittainy C. Cherry,2015,"I was warned about Tristan Cole.“Stay away from him,” people said.“He’s cruel.”“He’s cold.”“He’s damaged.”It’s easy to judge a man because of his past. To look at Tristan and see a monster.But I couldn’t do that. I had to accept the wreckage that lived inside of him because it also lived inside of me.We were both empty.We were both looking for something else. Something mor",308,4.17,57678
598,"Breathe (Sea Breeze, #1)",Abbi Glines,2011,"Sadie White's summer job isn't going to be on the beach life-guarding or working at rental booths like most kids her age. With her single mother's increasing pregnancy and refusal to work, Sadie has to take over her mother's job as a domestic servant for one of the wealthy summer families on a nearby island.When the family arrives at their summer getaway, Sadie is surprise",357,3.85,82311
599,"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips,2007,"Chicago Stars quarterback Dean Robillard is the luckiest man in the world: a bona-fide sports superstar and the pride of the NFL with a profitable side career as a buff billboard model for End Zone underwear. But life in the glory lane has started to pale, and Dean has set off on a cross-country trip to figure out what's gone wrong. When he hits a lonely stretch of Colorad",400,4.15,35013
600,"Then Came You (The Gamblers of Craven's, #1)",Lisa Kleypas,1993,"
A woman with a secret.
Reckless beauty Lily Lawson delights in shocking London society. She will break any rule to get what she wants . . . and she is determined to stop her younger sister from marrying Alex, Lord Wolverton, a handsome and arrogant earl who has vowed never to fall in love.
A man who will do anything to possess her.
To Alex's fury, the headstrong helli",371,3.97,28463
601,"A Kiss at Midnight (Fairy Tales, #1)",Eloisa James,2010,"Miss Kate Daltry doesn't believe in fairy tales . . . or happily ever after.Forced by her stepmother to attend a ball, Kate meets a prince... and decides he's anything but charming. A clash of wits and wills ensues, but they both know their irresistible attraction will lead nowhere. For Gabriel is promised to another woman—a princess whose hand in marriage will fulfill his",370,3.8,19209
